60003584;"NEC MultiSync E224Wi - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI-D. VGA. DisplayPort - black";181.93;220.14;;;2148;60003585;
60003585;"NEC MultiSync EA193Mi - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI. VGA. DisplayPort - speakers - white. silver";244.87;296.29;;;2184;60003586;
60003586;"NEC MultiSync EA193Mi - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI. VGA. DisplayPort - speakers - black";216.14;261.53;;;295;60003587;
60003587;"NEC MultiSync EA234WMi - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - white";313.53;379.37;;;1215;60003588;
60003588;"NEC MultiSync EA234WMi - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";259.34;313.80;;;389;60003607;
60003607;"NEC MultiSync EA273WMi - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 5 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - white";407.35;492.89;;;388;60003608;
60003608;"NEC MultiSync EA273WMi - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 5 ms - HDMI. DVI-D. VGA. DisplayPort - speakers - black";407.35;492.89;;;925;60003630;
60003630;"NEC MultiSync V323 - 32"" Class (31.5"" viewable) - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";71.3;86.27;;;865;60003675;
60003675;"NEC MultiSync X841UHD - 84"" Class - X Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";185.54;224.50;;;517;60003676;
60003676;"NEC MultiSync X651UHD - 65"" Class - X Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";5533.77;6695.86;;;582;60003677;
60003677;"NEC MultiSync X551UHD - 55"" Class LED display - digital signage / interactive communication - 4K UHD (2160p) 3840 x 2160 - edge-lit - black";18828.48;22782.46;;;1269;60003680;
60003680;"NEC MultiSync E232WMT - LED monitor - 23"" (23"" viewable) - touchscreen - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/m¤ - 1000:1 - 5 ms - HDMI. DVI-D. VGA - speakers - black";559.19;676.62;;;1346;60003681;
60003681;"NEC MultiSync E243WMI-BK - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI-D. VGA. DisplayPort - black";281.05;340.07;;;1347;60003682;
60003682;"NEC MultiSync E243WMI-WH - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m¤ - 1000:1 - 6 ms - DVI-D. VGA. DisplayPort - white";231.55;280.18;;;1034;60003683;
60003683;"NEC MultiSync EA244UHD - LED monitor - 24"" (23.8"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m¤ - 1000:1 - 5 ms - 2xHDMI. 2xDVI-D. 2xDisplayPort - speakers - black";1477.47;1787.74;;;1033;60003684;
60003684;"NEC MultiSync EA244UHD - LED monitor - 24"" (23.8"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m¤ - 1000:1 - 5 ms - 2xDisplayPort. 2xDVI-D. HDMI. HDMI (MHL) - speakers - white";1286.84;1557.08;;;867;60003685;
