M1N96AA#ABB;"HP EliteDisplay E222 - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 7 ms - HDMI. VGA. DisplayPort";161.33;
210-AFZC;"Dell SE2416H - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI. VGA";115.66;
210-ADYV;"Dell P2415Q - LED monitor - 23.8"" (23.8"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 300 cd/mz - 1000:1 - 6 ms - HDMI. DisplayPort. Mini DisplayPort. MHL - black - for OptiPlex 3040";382.64;
210-AICO;"Dell S2817Q - LED monitor - 27.9"" (27.9"" viewable) - 3840 x 2160 4K UHD (2160p) - TN - 300 cd/mz - 1000:1 - 2 ms - 2xHDMI (MHL). DisplayPort. Mini DisplayPort - speakers - black";332.53;
VS197DE;"ASUS VS197DE - LED monitor - 18.5"" (18.5"" viewable) - 1366 x 768 - 200 cd/mz - 5 ms - VGA - black";76.1;
TRASRO20130;Tracer - Cleaning wipes;2.3;
I2481FXH;"AOC Style I2481FXH - LCD monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/mz - 1000:1 - 4 ms - 2xHDMI. VGA - black";124.29;
I2375PQU;"AOC Pro-line I2375PQU - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. DVI. DisplayPort. VGA - speakers - black";151.92;
9H.LF7LA.TBE;"BenQ Designer PD2700Q - LED monitor - 27"" - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 4 ms - HDMI. DisplayPort. Mini DisplayPort - speakers - black";365.6;
LS24E45KBL/EN;"Samsung SE450 Series S24E450BL - LED monitor - 23.6"" - 1920 x 1080 Full HD (1080p) - TN - 300 cd/mz - 1000:1 - 5 ms - DVI. VGA - black";139.76;
210-ALPJ;"Dell S2218M - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - DVI-D. VGA - black";106.02;
60003585;"NEC MultiSync EA193Mi - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/mz - 1000:1 - 6 ms - DVI. VGA. DisplayPort - speakers - white. silver";193.39;
24UD58-B.AEU;"LG 24UD58-B - LED monitor - 24"" (23.8"" viewable) - 3840 x 2160 4K - IPS - 250 cd/mz - 1000:1 - 5 ms - 2xHDMI. DisplayPort - textured matte black. high glossy matte black";244.87;
210-AMPS;"Dell P2418D - LED monitor - 24"" (23.8"" viewable) - 2560 x 1440 - IPS - 300 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort";235.81;
240V5QDAB/00;"Philips V-line 240V5QDAB - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - ADS-IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. DVI-D. VGA - speakers - textured black. black hairline";107.53;
210-AIRY;"Dell P2717H - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 300 cd/mz - 1000:1 - 6 ms - HDMI. VGA. DisplayPort";199.82;
9H.LFDLA.TBE;"BenQ GW series GW2406Z - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/mz - 1000:1 - 14 ms - HDMI. VGA. DisplayPort - glossy black";131.57;
210-ALDP;"Dell UltraSharp U2717D - LED monitor - 27"" (27"" viewable) - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 6 ms - HDMI (MHL). DisplayPort. Mini DisplayPort - white";348.19;
E2460SH;"AOC Value e2460Sh - LED monitor - 24"" (24"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D. VGA - speakers - black";118.77;
9H.L6VLA.DPE;"BenQ GL2250 - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA";89.57;
223V5LHSB2/00;"Philips V-line 223V5LHSB2 - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - 200 cd/mz - 600:1 - 5 ms - HDMI. VGA - textured black. black hairline";77.42;
24MP48HQ-P/EU;"LG 24MP48HQ-P - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA - glossy black with textured back cover";106.02;
210-AMKX;"Dell E2318H - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - VGA. DisplayPort - black";122.89;
