60003683;"NEC MultiSync EA244UHD - LED monitor - 24"" (23.8"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m2 - 1000:1 - 5 ms - 2xHDMI, 2xDVI-D, 2xDisplayPort - speakers - black";1286.84;1557.08;;;1989;60003683
60003684;"NEC MultiSync EA244UHD - LED monitor - 24"" (23.8"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m2 - 1000:1 - 5 ms - 2xDisplayPort, 2xDVI-D, HDMI, HDMI (MHL) - speakers - white";1325.64;1604.02;;;1990;60003684
60003685;"NEC MultiSync PA322UHD - LED monitor - 32"" (31.5"" viewable) - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m2 - 1000:1 - 10 ms - 2xDVI-D, 2xDisplayPort, 4xHDMI - speakers - black";3026.02;3661.48;;;1991;60003685
60003686;"NEC SpectraView Reference 322UHD - LED monitor - 31.5"" - 3840 x 2160 4K - IPS - 350 cd/m2 - 1000:1 - 10 ms - 2xDVI-D, 2xDisplayPort, 4xHDMI - black";4185.36;5064.29;;;1992;60003686
60003701;"NEC MultiSync P403 PG - 40"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";2313.77;2799.66;;;1993;60003701
60003702;"NEC MultiSync P463 PG - 46"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";3012.7;3645.37;;;1994;60003702
60003707;"NEC MultiSync P703 PG - 70"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";8848.64;10706.85;;;1995;60003707
60003708;"NEC MultiSync P801 PG - 80"" Class (80"" viewable) - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit";15170.45;18356.24;;;1996;60003708
60003713;"NEC MultiSync V323 PG - 32"" Class (31.5"" viewable) - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";1153.64;1395.9;;;1997;60003713
60003722;"NEC MultiSync X464UNS - 46"" Class - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED";3762.27;4552.35;;;1998;60003722
